verb | anticipate | anticipar
noun | assertion | afirmación
expr | believe wholeheartedly | estar completamente convencido
expr | choose wisely | elegir sabiamente, escoger sabiamente
adje | clueless | desinformado
expr | come back to haunt you | regresar para atormentarte
expr | courage in the face of an affliction | valor ante el sufrimiento
expr | critical thinking skills | capacidad de pensamiento crítico
expr | enquiring mind | mente inquisitiva
noun | eye-opener | revelación
expr | go to incredible lengths | llegar a extremos increíbles
noun | extent | alcance
verb | cope | salir adelante, superar
verb | portray | retratar, representar
ph-v | add to (sth) | añadir
noun | bargain | ganga
noun | bracelet | pulsera, brazalete
adje | casual | informal, casual
noun | comparison | comparación
ph-v | cut down (sth), cut (sth) down | reducir
verb | distinguish | distinguir
verb | dominate | dominar
ph-v | dress up | vestirse de gala
ph-v | fit in (with) | pegar, encajar, armonizar
adje | genuine | genuino, auténtico, real, lícito
ph-v | go ahead | dar luz verde, llevar a cabo, seguir adelante, continuar
ph-v | go back | volver
ph-v | go for (sth) (choose) | escoger
ph-v | go on | ocurrir
ph-v | go out | salir, marchar
ph-v | go over (sth) | repasar
ph-v | go up | subir
noun | hood | capucha
noun | helmet | casco
noun | image | imagen
ph-v | keep up (with sb/sth) | seguir, comprender
noun | label | etiqueta, marca (marcar)
noun | matter | tema, cuestión
noun | outfit | conjunto de ropa, traje, ropa
adje | outrageous | chocante, extremo
ph-v | pull on (sth), pull (sth) on | vestirse rápidamente
ph-v | put together (sth), put (sth) together | combinar, juntar
verb | represent | representar
ph-v | save up (sth), save (sth) up | ahorrar
adve | slightly | ligeramente
ph-v | slip on (sth), slip (sth) on | ponerse rápido algo de ropa
adje | smart (stylish) | elegante
noun | stall | puesto, caseta (de un mercado)
ph-v | stand out | distinguirse, destacar
noun | stuff | cosas
adje | stunning | increíble, impresionante, asombroso
adje | stylish | estiloso
noun | sweatshirt | suéter, jersey
ph-v | take back (sth), take (sth) back | devolver (algo comprado)
ph-v | take off (sth), take (sth) off (remove) | quitar
adje | accessible | accesible
noun | action | acción
noun | appliance | electrodoméstico
noun | application, app | aplicación, app
adje | complex | complejo
noun | control | control, autoridad
adje | demanding | exigente
adje | disappointed | decepcionado
noun | facility | instalación, servicio
adje | favourable | favorable
noun | feature | característica
ph-v | find out (sth), find (sth) out | descubrir
noun | fortune | fortuna
ph-v | get through (sth) (survive) | terminar, acabar, superar
noun | goal | objetivo
verb | Google | buscar en Google, googlear
noun | graphics | gráficos
adje | hopeless (person) | incapaz, muy malo en algo
adje | impressive | impresionante
noun | intelligence | inteligencia
adje | meaningful | significativo
adje | messy | desorganizado, desordenado
adje | muddy | embarrado
noun | opponent | oponente
noun | pace | ritmo
noun | popularity | popularidad
verb | reach a conclusion | concluir, llegar a una conclusión
noun | review | reseña
verb | solve | resolver
adje | sophisticated | sofisticado
noun | soundtrack | banda sonora
verb | submit | enviar, presentar (un documento / un plan...)
adje | tricky | delicado, difícil
ph-v | turn on (sth), turn (sth) on | encender
adje | unhelpful | que no ayuda
noun | version | versión
adje | violent | violento
adje | virtual | virtual
verb | yawn | bostezar
noun | airline | compañía aérea, línea aérea
noun | approach (move closely) | acercamiento
verb | approach (move closely) | acercarse
noun | backpacker | mochilero
ph-v | book (sb) into | reservar una habitación de hotel para alguien
noun | cabin | cabaña
noun | campsite | camping
ph-v | check in | presentarse en recepción, check in
ph-v | check out | dejar la habitación de hotel y pagar la cuenta, check out
noun | cliff | acantilado
noun | coast | costa
noun | crew | tripulación
noun | destination | destino
verb | disturb | cambiar de sitio, molestar
adje | domestic | nacional, doméstico, casero
noun | evidence | prueba, evidencia
noun | expedition | expedición
noun | ferry | ferry
ph-v | fill in (sth), fill (sth) in | rellenar, completar (un formulario...)
verb | forbid | prohibir
noun | friendship | amistad
ph-v | get away | ir de vacaciones
ph-v | get in | llegar (un tren/a casa), entrar
expr | get rid of (sth) | deshacerse de
noun | ground | tierra
noun | harbour | puerto
verb | land | aterrizar
noun | landing | aterrizaje
ph-v | set off | salir de viaje
ph-v | stop over | hacer escala, hacer noche
ph-v | take off (a plane) | despegar (un avión)
noun | terminal | terminal
noun | travel agent | agente de viajes
noun | wildlife | fauna y flora
noun | yacht | yate
ph-v | can't stand (sb/sth) | odiar, caer mal, no soportar
verb | cheer | animar
noun | course (sport) | pista de carreras, campo de golf
noun | course (lessons) | curso
noun | court (sport) | pista (para practicar deportes)
expr | do business (with sb) | hacer negocios con, hacer negocios
expr | do damage | hacer daño
expr | do (sb) a favour | hacer un favor
expr | do (sth) for a living | hacer algo para ganarse la vida
ph-v | do without (sb/sth) | arreglarselas, apañarse
noun | extreme sport | deporte extremo
ph-v | fall apart | derrumbarse, desmoronarse, colapsar (una persona)
ph-v | fall for (sb) | enamorarse de, enamorarse
ph-v | fall out (with sb) | enfadarse con, enfadarse
ph-v | fall through | fracasar
noun | field | campo
noun | fitness | forma física
noun | gym | gimnasio
noun | gymnastics | gimnasia
verb | ice skate | patinaje sobre hielo
noun | lap | vuelta (a la pista)
noun | net | red
noun | penalty | penalti
noun | pitch | cancha, terreno de juego
noun | referee | árbitro
expr | take a risk | arriesgarse
verb | row (sport) | remar
adje | scary | que da miedo, escalofriante
verb | ski | esquiar
noun | spectator | espectador
noun | squash | squash
noun | team | equipo
noun | track | pista
verb | affect | afectar, influir
ph-v | be accustomed to (sth/doing sth) | estar acostumbrado a
ph-v | be friends with | ser amigo de
adje | confident | confiado, seguro
adje | critical | crítico
verb | disapprove | desaprobar
ph-v | get on (with sb) | llevarse bien, caerse bien
noun | housework | tareas domésticas, tareas de casa
expr | keep a promise | mantener una promesa
expr | break a promise | romper una promesa
expr | keep a secret | guardar un secreto
expr | keep (sb) awake | mantener despierto
noun | kid | niño
expr | make a fortune | hacer una fortuna
expr | make friends (with sb) | hacerse amigo de
noun | mood | estado de ánimo
noun | neighbourhood | vecindario, barrio
adje | proud | orgulloso
adje | selfish | egoísta
adje | sensible | sensato
verb | share | compartir
noun | storey | piso (nivel de un edificio)
verb | struggle (try) | esforzarse
verb | taste good | saber bien
verb | taste sweet | saber dulce
verb | admit | admitir
verb | advertise | anunciar, hacer publicidad, promocionar
noun | brand | marca
noun | budget | presupuesto
noun | character | personaje
noun | commercial | anuncio
noun | deadline | fecha límite
verb | doubt | dudar
adje | dramatic | espectacular
noun | element | elemento
noun | ending | final, desenlace
adje | huge | enorme
noun | location | ubicación
noun | message | mensaje
adje | narrow | estrecho
noun | personality | personalidad, celebridad
adje | powerful | poderoso, potente
noun | production | producción
verb | reckon | creer, considerar
noun | setting (place) | escenario, donde un libro está ambientado (libro o obra o película)
adje | shallow | poco profundo
verb | stress (emphasize) | destacar
noun | view (opinion) | punto de vista
expr | what's more | es más, además
noun | access | acceso
noun | achievement | logro
adve | at first | al principio
adve | at last | al final
adve | at least | al menos
adve | at once | inmediatamente
adje | at peace | en paz
adve | at present | ahora
adve | at rest | en reposo
adve | at the same time | al mismo tiempo
adje | at war | en guerra
adje | commercial | comercial
noun | concept | concepto
noun | decade | década
noun | expedition | expedición
adje | illegal | ilegal
adje | immoral | inmoral
